,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
26,0.177,https://api.spotify.com/v1/audio-analysis/7lGKEWMXVWWTt3X71Bv44I,0.598,193546.0,0.673,7lGKEWMXVWWTt3X71Bv44I,0.000316,9.0,0.203,-6.134,0.0,0.0469,117.02,4.0,https://api.spotify.com/v1/tracks/7lGKEWMXVWWTt3X71Bv44I,audio_features,spotify:track:7lGKEWMXVWWTt3X71Bv44I,0.242
27,0.11,https://api.spotify.com/v1/audio-analysis/3kfxarilcBr81mb2hmZLeh,0.671,191600.0,0.314,3kfxarilcBr81mb2hmZLeh,0.0,5.0,0.0825,-8.091,0.0,0.244,110.898,4.0,https://api.spotify.com/v1/tracks/3kfxarilcBr81mb2hmZLeh,audio_features,spotify:track:3kfxarilcBr81mb2hmZLeh,0.295
28,0.0121,https://api.spotify.com/v1/audio-analysis/52wTKeWYVIAtSESw0haRB1,0.524,228027.0,0.505,52wTKeWYVIAtSESw0haRB1,1.28e-06,11.0,0.225,-8.256,0.0,0.275,189.978,4.0,https://api.spotify.com/v1/tracks/52wTKeWYVIAtSESw0haRB1,audio_features,spotify:track:52wTKeWYVIAtSESw0haRB1,0.3
29,0.0272,https://api.spotify.com/v1/audio-analysis/0wI7QkCcs8FUQE1OkXUIqd,0.318,230240.0,0.751,0wI7QkCcs8FUQE1OkXUIqd,0.0,0.0,0.11,-5.732,1.0,0.289,193.62,4.0,https://api.spotify.com/v1/tracks/0wI7QkCcs8FUQE1OkXUIqd,audio_features,spotify:track:0wI7QkCcs8FUQE1OkXUIqd,0.431
30,0.255,https://api.spotify.com/v1/audio-analysis/4dASQiO1Eoo3RJvt74FtXB,0.502,243491.0,0.786,4dASQiO1Eoo3RJvt74FtXB,0.0,9.0,0.65,-4.378,0.0,0.317,169.021,4.0,https://api.spotify.com/v1/tracks/4dASQiO1Eoo3RJvt74FtXB,audio_features,spotify:track:4dASQiO1Eoo3RJvt74FtXB,0.734
31,0.454,https://api.spotify.com/v1/audio-analysis/550rQQCGkrTzvp4SfpOPzx,0.321,268960.0,0.377,550rQQCGkrTzvp4SfpOPzx,0.0,10.0,0.338,-7.385,1.0,0.0361,119.483,4.0,https://api.spotify.com/v1/tracks/550rQQCGkrTzvp4SfpOPzx,audio_features,spotify:track:550rQQCGkrTzvp4SfpOPzx,0.355
32,0.0606,https://api.spotify.com/v1/audio-analysis/7fJtPlEZKxu6gvkfBFc5tW,0.804,263373.0,0.65,7fJtPlEZKxu6gvkfBFc5tW,7.05e-05,7.0,0.102,-7.79,1.0,0.118,117.984,4.0,https://api.spotify.com/v1/tracks/7fJtPlEZKxu6gvkfBFc5tW,audio_features,spotify:track:7fJtPlEZKxu6gvkfBFc5tW,0.391
33,0.12,https://api.spotify.com/v1/audio-analysis/1sSNWjLtY4GwyhqAwAnPD9,0.659,200717.0,0.767,1sSNWjLtY4GwyhqAwAnPD9,0.0,2.0,0.181,-3.016,1.0,0.261,181.818,4.0,https://api.spotify.com/v1/tracks/1sSNWjLtY4GwyhqAwAnPD9,audio_features,spotify:track:1sSNWjLtY4GwyhqAwAnPD9,0.56
34,0.621,https://api.spotify.com/v1/audio-analysis/06KyNuuMOX1ROXRhj787tj,0.728,217707.0,0.563,06KyNuuMOX1ROXRhj787tj,0.0,1.0,0.179,-8.053,0.0,0.134,100.017,4.0,https://api.spotify.com/v1/tracks/06KyNuuMOX1ROXRhj787tj,audio_features,spotify:track:06KyNuuMOX1ROXRhj787tj,0.35
35,0.255,https://api.spotify.com/v1/audio-analysis/3RiPr603aXAoi4GHyXx0uy,0.49,258827.0,0.743,3RiPr603aXAoi4GHyXx0uy,7.21e-06,0.0,0.3,-5.155,0.0,0.0409,89.974,4.0,https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy,audio_features,spotify:track:3RiPr603aXAoi4GHyXx0uy,0.376
36,0.131,https://api.spotify.com/v1/audio-analysis/5azuYJZsobD2XRlGvStL2s,0.596,239853.0,0.713,5azuYJZsobD2XRlGvStL2s,0.0,6.0,0.0754,-3.121,1.0,0.0425,122.908,4.0,https://api.spotify.com/v1/tracks/5azuYJZsobD2XRlGvStL2s,audio_features,spotify:track:5azuYJZsobD2XRlGvStL2s,0.333
37,0.00479,https://api.spotify.com/v1/audio-analysis/4ckuS4Nj4FZ7i3Def3Br8W,0.804,251333.0,0.56,4ckuS4Nj4FZ7i3Def3Br8W,0.0,8.0,0.164,-6.682,1.0,0.185,85.023,4.0,https://api.spotify.com/v1/tracks/4ckuS4Nj4FZ7i3Def3Br8W,audio_features,spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,0.264
38,0.0155,https://api.spotify.com/v1/audio-analysis/4I5azUh7XiUcjFzAZUPfzX,0.608,220267.0,0.833,4I5azUh7XiUcjFzAZUPfzX,2.07e-06,0.0,0.086,-4.458,1.0,0.036,93.977,4.0,https://api.spotify.com/v1/tracks/4I5azUh7XiUcjFzAZUPfzX,audio_features,spotify:track:4I5azUh7XiUcjFzAZUPfzX,0.406
39,0.0312,https://api.spotify.com/v1/audio-analysis/5uDASfU19gDxSjW8cnCaBp,0.886,177184.0,0.427,5uDASfU19gDxSjW8cnCaBp,0.00099,6.0,0.0906,-10.028,1.0,0.145,108.034,4.0,https://api.spotify.com/v1/tracks/5uDASfU19gDxSjW8cnCaBp,audio_features,spotify:track:5uDASfU19gDxSjW8cnCaBp,0.236
40,0.0935,https://api.spotify.com/v1/audio-analysis/1vvNmPOiUuyCbgWmtc6yfm,0.819,219160.0,0.913,1vvNmPOiUuyCbgWmtc6yfm,3.72e-05,4.0,0.161,-3.059,0.0,0.0427,119.989,4.0,https://api.spotify.com/v1/tracks/1vvNmPOiUuyCbgWmtc6yfm,audio_features,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,0.523
41,0.606,https://api.spotify.com/v1/audio-analysis/6wycnu8FWXsj68ig7BEot9,0.686,230600.0,0.417,6wycnu8FWXsj68ig7BEot9,1.79e-06,7.0,0.0844,-7.787,1.0,0.0363,82.407,3.0,https://api.spotify.com/v1/tracks/6wycnu8FWXsj68ig7BEot9,audio_features,spotify:track:6wycnu8FWXsj68ig7BEot9,0.45
42,0.0196,https://api.spotify.com/v1/audio-analysis/6r2jK1A6oFRPREZfxjc5d1,0.756,226520.0,0.7,6r2jK1A6oFRPREZfxjc5d1,1.02e-05,10.0,0.369,-5.922,0.0,0.347,145.14,4.0,https://api.spotify.com/v1/tracks/6r2jK1A6oFRPREZfxjc5d1,audio_features,spotify:track:6r2jK1A6oFRPREZfxjc5d1,0.331
